8日（今天）,多云转阴,26,19℃
9日（明天）,阵雨转阴,24,16℃
10日（后天）,多云,21,15℃
11日（周四）,晴转多云,23,14℃
12日（周五）,晴转多云,22,15℃
13日（周六）,多云转晴,23,16℃
14日（周日）,多云转中雨,23,18℃
8日（今天）,多云转阴,26,19℃
9日（明天）,阵雨转阴,24,16℃
10日（后天）,多云,21,15℃
11日（周四）,晴转多云,23,14℃
12日（周五）,晴转多云,22,15℃
13日（周六）,多云转晴,23,16℃
14日（周日）,多云转中雨,23,18℃
8日（今天）,小雨,27,17℃
9日（明天）,小雨转多云,21,14℃
10日（后天）,多云转晴,23,8℃
11日（周四）,晴,23,10℃
12日（周五）,多云,23,10℃
13日（周六）,多云转小雨,23,12℃
14日（周日）,阴转中雨,23,14℃
8日（今天）,小雨,27,17℃
9日（明天）,小雨转多云,21,14℃
10日（后天）,多云转晴,23,8℃
11日（周四）,晴,23,10℃
12日（周五）,多云,23,10℃
13日（周六）,多云转小雨,23,12℃
14日（周日）,阴转中雨,23,14℃
8日（今天）,小雨,27,17℃
9日（明天）,小雨转多云,21,14℃
10日（后天）,多云转晴,23,8℃
11日（周四）,晴,23,10℃
12日（周五）,多云,23,10℃
13日（周六）,多云转小雨,23,12℃
14日（周日）,阴转中雨,23,14℃
